<scenario_description>
This enhanced scenario takes place on a 4-lane highway with bidirectional traffic. The scenario features a complex series of lane changes and speed adjustments that create multiple potential conflict points. The main challenge involves a chain reaction of emergency maneuvers triggered by a sudden slowdown of Vehicle 1 due to an obstacle in its lane. This forces Vehicle 3, which is following in the same lane, to execute an emergency lane change. Meanwhile, vehicles in adjacent lanes must react to these sudden maneuvers while maintaining their own trajectories. The scenario also includes a vehicle attempting to merge from an on-ramp, creating additional complexity. Several vehicles execute lane changes in close proximity to each other, creating a challenging prediction problem for an autonomous vehicle.
</scenario_description>

<enhancement_strategy>
I've enhanced this scenario by:
1. Creating a sudden slowdown event with Vehicle 1 that triggers cascading reactions
2. Adding more complex lane change patterns with vehicles changing lanes in close proximity
3. Introducing varying speeds and accelerations/decelerations rather than constant velocities
4. Creating potential conflict points where vehicles must negotiate space during lane changes
5. Adding a merging vehicle from an on-ramp that disrupts the flow of traffic
6. Including a situation where a vehicle must abort a planned lane change due to another vehicle's unexpected maneuver
7. Creating a scenario where prediction of multiple agents' intentions becomes challenging
8. Maintaining physical feasibility while pushing the boundaries of complex interactions
</enhancement_strategy>

<vehicle_trajectories>
Vehicle ID: 1 (Car - Lead vehicle that suddenly slows down)
Time (s), X (m), Y (m), Velocity (m/s), Heading (rad)
5.0, 92.40, 13.81, -43.40, 3.14
5.5, 70.70, 13.81, -43.40, 3.14
6.0, 49.00, 13.81, -43.40, 3.14
6.5, 27.30, 13.81, -43.40, 3.14
7.0, 5.60, 13.81, -43.40, 3.14

Vehicle ID: 6 (Car - Vehicle attempting to merge from on-ramp)
Time (s), X (m), Y (m), Velocity (m/s), Heading (rad)
0.0, 400.00, 25.00, 30.00, 0.15
0.5, 414.50, 24.50, 30.00, 0.10
1.0, 429.00, 24.00, 30.00, 0.05
1.5, 443.50, 23.50, 30.00, 0.02
2.0, 458.00, 23.00, 30.00, 0.01
2.5, 472.50, 22.50, 30.00, 0.00
3.0, 487.00, 22.00, 30.00, 0.00
3.5, 501.50, 21.70, 28.00, 0.00
4.0, 515.50, 21.70, 26.00, 0.00
4.5, 528.50, 21.70, 24.00, 0.00
5.0, 540.50, 21.70, 22.00, 0.00

Vehicle ID: 7 (Car - Vehicle performing aggressive lane change)
Time (s), X (m), Y (m), Velocity (m/s), Heading (rad)
0.0, 350.00, 13.12, -40.00, 3.14
0.5, 330.00, 13.12, -40.00, 3.14
1.0, 310.00, 13.12, -40.00, 3.14
1.5, 290.00, 13.12, -40.00, 3.14
2.0, 270.00, 13.12, -40.00, 3.14
2.5, 250.00, 13.12, -40.00, 3.14
3.0, 230.00, 13.12, -40.00, 3.14
3.5, 210.00, 13.12, -40.00, 3.14
4.0, 190.00, 13.12, -40.00, 3.14
4.5, 170.00, 13.12, -40.00, 3.14
5.0, 150.00, 13.12, -40.00, 3.14
5.5, 130.00, 12.00, -40.00, 3.10
6.0, 110.00, 10.50, -40.00, 3.10
6.5, 90.00, 9.39, -40.00, 3.14
7.0, 70.00, 9.39, -40.00, 3.14

Vehicle ID: 8 (Car - Vehicle performing double lane change)
Time (s), X (m), Y (m), Velocity (m/s), Heading (rad)
0.0, 200.00, 9.39, 38.00, 0.0
0.5, 219.00, 9.39, 38.00, 0.0
1.0, 238.00, 9.39, 38.00, 0.0
1.5, 257.00, 9.39, 38.00, 0.0
2.0, 276.00, 9.39, 38.00, 0.0
2.5, 295.00, 10.50, 38.00, 0.05
3.0, 314.00, 12.00, 38.00, 0.05
3.5, 333.00, 13.50, 38.00, 0.05
4.0, 352.00, 15.00, 38.00, 0.05
4.5, 371.00, 16.50, 38.00, 0.05
5.0, 390.00, 18.00, 38.00, 0.05
5.5, 409.00, 19.50, 38.00, 0.05
6.0, 428.00, 21.00, 38.00, 0.05
6.5, 447.00, 21.68, 38.00, 0.0
7.0, 466.00, 21.68, 38.00, 0.0

Vehicle ID: 9 (Car - Vehicle that must abort lane change)
Time (s), X (m), Y (m), Velocity (m/s), Heading (rad)
0.0, 420.00, 13.81, -39.00, 3.14
0.5, 400.50, 13.81, -39.00, 3.14
1.0, 381.00, 13.81, -39.00, 3.14
1.5, 361.50, 13.81, -39.00, 3.14
2.0, 342.00, 13.81, -39.00, 3.14
2.5, 322.50, 13.81, -39.00, 3.14
3.0, 303.00, 13.81, -39.00, 3.14
3.5, 283.50, 13.81, -39.00, 3.14
4.0, 264.00, 13.81, -39.00, 3.14
4.5, 244.50, 13.81, -39.00, 3.14
5.0, 225.00, 13.81, -39.00, 3.14
5.5, 205.50, 14.50, -39.00, 3.10
6.0, 186.00, 15.20, -39.00, 3.10
6.5, 166.50, 15.90, -39.00, 3.10
7.0, 147.00, 16.60, -39.00, 3.10
7.5, 127.50, 17.30, -39.00, 3.10
8.0, 108.00, 18.00, -39.00, 3.10
8.5, 88.50, 17.30, -39.00, 3.18
9.0, 69.00, 16.60, -39.00, 3.18
9.5, 49.50, 15.90, -39.00, 3.18
10.0, 30.00, 15.20, -39.00, 3.18
10.5, 10.50, 14.50, -39.00, 3.18
11.0, -9.00, 13.81, -39.00, 3.14

Vehicle ID: 10 (Car - Vehicle that cuts in front of Vehicle 3)
Time (s), X (m), Y (m), Velocity (m/s), Heading (rad)
0.0, 300.00, 17.50, 38.00, 0.0
0.5, 319.00, 17.50, 38.00, 0.0
1.0, 338.00, 17.50, 38.00, 0.0
1.5, 357.00, 17.50, 38.00, 0.0
2.0, 376.00, 17.50, 38.00, 0.0
2.5, 395.00, 18.50, 38.00, 0.05
3.0, 414.00, 19.50, 38.00, 0.05
3.5, 433.00, 20.50, 38.00, 0.05
4.0, 452.00, 21.50, 38.00, 0.05
4.5, 471.00, 21.64, 38.00, 0.0
5.0, 490.00, 21.64, 38.00, 0.0
5.5, 509.00, 21.64, 38.00, 0.0
6.0, 528.00, 21.64, 30.00, 0.0
6.5, 543.00, 21.64, 25.00, 0.0
7.0, 555.50, 21.64, 20.00, 0.0
</vehicle_trajectories>
